time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-19T10:13:31.721Z,-54.1373,159.0844,10,6.9,mww,,39,0.369,0.94,us,us6000hm9j,2022-05-20T10:22:30.850Z,"Macquarie Island region",earthquake,4.1,1.7,0.078,16,reviewed,us,us
2022-05-19T10:10:55.874Z,-54.0394,159.1444,10,5.5,mb,,130,0.473,0.92,us,us6000hm9e,2022-05-20T10:14:08.883Z,"Macquarie Island region",earthquake,11.2,1.9,0.101,34,reviewed,us,us
2022-05-19T09:23:51.580Z,-16.2914,-173.8381,113,5.8,mww,,72,3.09,0.75,us,us6000hm95,2022-05-20T17:24:51.040Z,"37 km S of Hihifo, Tonga",earthquake,9.5,5.9,0.078,16,reviewed,us,us
2022-05-19T07:53:28.448Z,65.2366,-164.4996,13.15,2.5,ml,,143,0.477,0.38,us,us6000hm8v,2022-05-19T08:18:30.040Z,"75 km N of Solomon, Alaska",earthquake,5.2,6.5,0.066,30,reviewed,us,us
2022-05-19T07:34:50.372Z,66.4533,-162.5039,0,2.7,ml,,,,0.64,ak,ak0226e02o3x,2022-05-19T08:08:45.040Z,"43 km NNE of Deering, Alaska",earthquake,,0.7,,,automatic,ak,ak
2022-05-19T05:33:59.939Z,32.7171,-119.5396,8.4,2.9,ml,,226,1.84,0.74,us,us6000hm87,2022-05-19T06:03:58.040Z,"132 km WSW of Avalon, California",earthquake,8.1,8.8,0.043,72,reviewed,us,us
2022-05-19T05:05:15.488Z,-21.7069,-179.2831,584.19,4.3,mb,,50,4.672,0.64,us,us6000hm83,2022-05-19T05:24:55.040Z,"Fiji region",earthquake,10.3,9.1,0.049,120,reviewed,us,us
2022-05-19T04:47:12.720Z,36.7998352,-121.5383301,7.43,2.47,md,54,41,,0.18,nc,nc73735586,2022-05-19T15:38:42.267Z,"5km S of San Juan Bautista, CA",earthquake,0.27,0.69,0.19,37,automatic,nc,nc
2022-05-19T04:32:54.280Z,17.9335,-66.8723333333333,11.44,2.65,md,20,185,,0.19,pr,pr71349338,2022-05-19T05:58:21.760Z,"5 km SSE of Maria Antonia, Puerto Rico",earthquake,0.55,0.41,0.0869328074572526,10,reviewed,pr,pr
2022-05-19T03:29:09.750Z,19.439,-155.6175,-0.69,2.53,md,37,139,,0.13,hv,hv73016782,2022-05-19T03:40:31.680Z,"26 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.22,0.31,0.156272311747735,14,reviewed,hv,hv
2022-05-19T03:29:07.959Z,-57.0999,-25.4138,35,5.3,mww,,22,6.866,0.59,us,us6000hm6v,2022-05-20T03:32:27.440Z,"South Sandwich Islands region",earthquake,9.4,1.8,0.093,11,reviewed,us,us
2022-05-19T02:48:54.063Z,31.69370569,-104.2647719,7.442675781,2.6,ml,11,63,0.0863767994,0.2,tx,tx2022jsiz,2022-05-20T00:59:54.922Z,"54 km S of Whites City, New Mexico",earthquake,1.38802461,1.9002924320000003,0.2,12,reviewed,tx,tx
2022-05-19T02:26:00.110Z,44.4511667,-115.1993333,5.13,2.49,ml,14,82,0.835,0.21,mb,mb80546354,2022-05-19T13:19:56.510Z,"33 km NW of Stanley, Idaho",earthquake,0.56,1.05,0.288,15,reviewed,mb,mb
2022-05-19T02:24:53.037Z,-58.7998,-25.3277,35,5,mb,,38,15.819,0.83,us,us6000hm6g,2022-05-19T23:50:30.040Z,"South Sandwich Islands region",earthquake,11.2,1.9,0.063,80,reviewed,us,us
2022-05-19T02:21:46.651Z,60.4257,-148.9781,30.6,3.3,ml,,,,0.78,ak,ak0226dx0pdp,2022-05-20T02:24:57.681Z,"21 km E of Crown Point, Alaska",earthquake,,0.6,,,reviewed,ak,ak
